epoch,train_loss,val_loss_avg,val_loss_temp,val_loss_spa,val_loss_temp_spa
0,-0.5225559091146489,-0.7027937966171415,-0.7134754722796894,-0.6790996866428751,-0.7158062309288602
1,-0.6806651530079773,-0.7229840428011259,-0.7320769641257358,-0.7033346658634099,-0.7335404984142324
2,-0.6987317513110862,-0.737124841742382,-0.744946877953847,-0.7201048730985368,-0.7463227741747623
3,-0.7104771809733886,-0.7445406375384609,-0.7519284352454941,-0.7284030688239568,-0.7532904085459315
4,-0.7181727963784201,-0.7536413532103835,-0.760744417073434,-0.7381998068035968,-0.7619798357541196
5,-0.7264589914491313,-0.7589751697288163,-0.765472795483071,-0.7449238553149227,-0.766528858388455
6,-0.7335816954177711,-0.7664950824854003,-0.7730585114597046,-0.7522415561285594,-0.7741851798679372
7,-0.739077745665115,-0.7709122454463712,-0.7772927579487703,-0.757162958277811,-0.7782810201125321
8,-0.7435236918512497,-0.7748963472607665,-0.780750703126271,-0.7619768247495732,-0.7819615139064554
9,-0.7475275136875558,-0.7772169479839198,-0.7830400338746193,-0.7645382103141581,-0.7840725997629819
10,-0.7511894600938388,-0.7802568879794194,-0.7858220633228138,-0.7680605628232453,-0.7868880377921991
11,-0.7541997145655971,-0.7828673367694751,-0.7884851717418419,-0.7703986165979508,-0.7897182219686324
12,-0.7566574830592661,-0.7850335910974527,-0.7903005458908345,-0.7731211695402693,-0.7916790578612544
13,-0.7588017887498868,-0.7858883327032009,-0.7913232791276866,-0.7741682990027063,-0.7921734199792094
14,-0.760613855926587,-0.7876607165926522,-0.792956845088097,-0.7760608870680258,-0.7939644176218338
15,-0.7621744379931819,-0.7879159692051981,-0.7929894907426873,-0.7768630149350166,-0.7938954019378903
16,-0.7635751074129539,-0.7902906024337666,-0.7952048818218891,-0.7793192214367516,-0.7963477040426593
17,-0.7647773870488296,-0.7904834741936119,-0.7954326620682022,-0.779392088313029,-0.7966256721996046
18,-0.7657649660466305,-0.7919831960826372,-0.7970216353222612,-0.7808765460870876,-0.7980514068385629
19,-0.7667038370762099,-0.7926546633795825,-0.7976076341764504,-0.7816888637620116,-0.798667492200285
